TEMPORADA,DIVISIÓN,JORNADA,LOCAL,VISITANTE,RESULTADO
1972-1973,1,1,Granada        ,Zaragoza       ,0-0
1972-1973,1,1,Barcelona      ,Dptivo. Coruña ,3-1
1972-1973,1,1,At. Madrid     ,Valencia       ,1-3
1972-1973,1,1,Las Palmas     ,Oviedo         ,2-1
1972-1973,1,1,Sporting Gijón ,Betis          ,1-0
1972-1973,1,1,Castellón      ,Real Madrid    ,2-3
1972-1973,1,1,Celta          ,Espanyol       ,1-1
1972-1973,1,1,Málaga (C.D.)  ,Ath. Bilbao    ,0-0
1972-1973,1,1,Burgos         ,Real Sociedad  ,1-0
1972-1973,1,2,Zaragoza       ,Burgos         ,2-0
1972-1973,1,2,Dptivo. Coruña ,Granada        ,0-0
1972-1973,1,2,Valencia       ,Barcelona      ,0-1
1972-1973,1,2,Oviedo         ,At. Madrid     ,0-2
1972-1973,1,2,Betis          ,Las Palmas     ,0-2
1972-1973,1,2,Real Madrid    ,Sporting Gijón ,1-0
1972-1973,1,2,Espanyol       ,Castellón      ,1-0
1972-1973,1,2,Ath. Bilbao    ,Celta          ,1-1
1972-1973,1,2,Real Sociedad  ,Málaga (C.D.)  ,1-1
1972-1973,1,3,Zaragoza       ,Dptivo. Coruña ,5-0
1972-1973,1,3,Granada        ,Valencia       ,1-1
1972-1973,1,3,Barcelona      ,Oviedo         ,3-1
1972-1973,1,3,At. Madrid     ,Betis          ,2-1
1972-1973,1,3,Las Palmas     ,Real Madrid    ,1-1
1972-1973,1,3,Sporting Gijón ,Espanyol       ,0-0
1972-1973,1,3,Castellón      ,Ath. Bilbao    ,1-4
1972-1973,1,3,Celta          ,Real Sociedad  ,0-1
1972-1973,1,3,Burgos         ,Málaga (C.D.)  ,2-2
1972-1973,1,4,Dptivo. Coruña ,Burgos         ,2-1
1972-1973,1,4,Valencia       ,Zaragoza       ,0-0
1972-1973,1,4,Oviedo         ,Granada        ,3-0
1972-1973,1,4,Betis          ,Barcelona      ,0-2
1972-1973,1,4,Real Madrid    ,At. Madrid     ,0-1
1972-1973,1,4,Espanyol       ,Las Palmas     ,4-0
1972-1973,1,4,Ath. Bilbao    ,Sporting Gijón ,2-0
1972-1973,1,4,Real Sociedad  ,Castellón      ,0-0
1972-1973,1,4,Málaga (C.D.)  ,Celta          ,1-0
1972-1973,1,5,Dptivo. Coruña ,Valencia       ,1-1
1972-1973,1,5,Zaragoza       ,Oviedo         ,3-0
1972-1973,1,5,Granada        ,Betis          ,0-0
1972-1973,1,5,Barcelona      ,Real Madrid    ,1-0
1972-1973,1,5,At. Madrid     ,Espanyol       ,0-0
1972-1973,1,5,Las Palmas     ,Ath. Bilbao    ,1-0
1972-1973,1,5,Sporting Gijón ,Real Sociedad  ,3-0
1972-1973,1,5,Castellón      ,Málaga (C.D.)  ,1-0
1972-1973,1,5,Burgos         ,Celta          ,0-0
1972-1973,1,6,Valencia       ,Burgos         ,3-0
1972-1973,1,6,Oviedo         ,Dptivo. Coruña ,0-0
1972-1973,1,6,Betis          ,Zaragoza       ,1-1
1972-1973,1,6,Real Madrid    ,Granada        ,2-1
1972-1973,1,6,Espanyol       ,Barcelona      ,1-1
1972-1973,1,6,Ath. Bilbao    ,At. Madrid     ,1-0
1972-1973,1,6,Real Sociedad  ,Las Palmas     ,1-0
1972-1973,1,6,Málaga (C.D.)  ,Sporting Gijón ,1-0
1972-1973,1,6,Celta          ,Castellón      ,2-0
1972-1973,1,7,Valencia       ,Oviedo         ,2-2
1972-1973,1,7,Dptivo. Coruña ,Betis          ,2-0
1972-1973,1,7,Zaragoza       ,Real Madrid    ,0-0
1972-1973,1,7,Granada        ,Espanyol       ,2-2
1972-1973,1,7,Barcelona      ,Ath. Bilbao    ,1-0
1972-1973,1,7,At. Madrid     ,Real Sociedad  ,2-1
1972-1973,1,7,Las Palmas     ,Málaga (C.D.)  ,1-3
1972-1973,1,7,Sporting Gijón ,Celta          ,3-1
1972-1973,1,7,Burgos         ,Castellón      ,2-1
1972-1973,1,8,Oviedo         ,Burgos         ,1-0
1972-1973,1,8,Betis          ,Valencia       ,0-0
1972-1973,1,8,Real Madrid    ,Dptivo. Coruña ,0-0
1972-1973,1,8,Espanyol       ,Zaragoza       ,3-1
1972-1973,1,8,Ath. Bilbao    ,Granada        ,0-1
1972-1973,1,8,Real Sociedad  ,Barcelona      ,2-0
1972-1973,1,8,Málaga (C.D.)  ,At. Madrid     ,0-1
1972-1973,1,8,Celta          ,Las Palmas     ,3-1
1972-1973,1,8,Castellón      ,Sporting Gijón ,1-0
1972-1973,1,9,Oviedo         ,Betis          ,0-0
1972-1973,1,9,Valencia       ,Real Madrid    ,0-1
1972-1973,1,9,Dptivo. Coruña ,Espanyol       ,0-0
1972-1973,1,9,Zaragoza       ,Ath. Bilbao    ,3-2
1972-1973,1,9,Granada        ,Real Sociedad  ,2-0
1972-1973,1,9,Barcelona      ,Málaga (C.D.)  ,0-0
1972-1973,1,9,At. Madrid     ,Celta          ,5-1
1972-1973,1,9,Las Palmas     ,Castellón      ,0-1
1972-1973,1,9,Burgos         ,Sporting Gijón ,2-1
1972-1973,1,0,Betis          ,Burgos         ,5-1
1972-1973,1,0,Real Madrid    ,Oviedo         ,3-0
1972-1973,1,0,Espanyol       ,Valencia       ,3-0
1972-1973,1,0,Ath. Bilbao    ,Dptivo. Coruña ,3-0
1972-1973,1,0,Real Sociedad  ,Zaragoza       ,3-0
1972-1973,1,0,Málaga (C.D.)  ,Granada        ,3-0
1972-1973,1,0,Celta          ,Barcelona      ,0-0
1972-1973,1,0,Castellón      ,At. Madrid     ,1-1
1972-1973,1,0,Sporting Gijón ,Las Palmas     ,2-2
1972-1973,1,1,Betis          ,Real Madrid    ,2-1
1972-1973,1,1,Oviedo         ,Espanyol       ,1-2
1972-1973,1,1,Valencia       ,Ath. Bilbao    ,4-1
1972-1973,1,1,Dptivo. Coruña ,Real Sociedad  ,1-2
1972-1973,1,1,Zaragoza       ,Málaga (C.D.)  ,1-1
1972-1973,1,1,Granada        ,Celta          ,1-0
1972-1973,1,1,Barcelona      ,Castellón      ,3-1
1972-1973,1,1,At. Madrid     ,Sporting Gijón ,0-1
1972-1973,1,1,Burgos         ,Las Palmas     ,3-3
1972-1973,1,2,Real Madrid    ,Burgos         ,2-0
1972-1973,1,2,Espanyol       ,Betis          ,2-2
1972-1973,1,2,Ath. Bilbao    ,Oviedo         ,3-3
1972-1973,1,2,Real Sociedad  ,Valencia       ,2-1
1972-1973,1,2,Málaga (C.D.)  ,Dptivo. Coruña ,4-1
1972-1973,1,2,Celta          ,Zaragoza       ,1-2
1972-1973,1,2,Castellón      ,Granada        ,0-0
1972-1973,1,2,Sporting Gijón ,Barcelona      ,1-1
1972-1973,1,2,Las Palmas     ,At. Madrid     ,2-2
1972-1973,1,3,Real Madrid    ,Espanyol       ,1-0
1972-1973,1,3,Betis          ,Ath. Bilbao    ,0-0
1972-1973,1,3,Oviedo         ,Real Sociedad  ,1-1
1972-1973,1,3,Valencia       ,Málaga (C.D.)  ,2-1
1972-1973,1,3,Dptivo. Coruña ,Celta          ,1-0
1972-1973,1,3,Zaragoza       ,Castellón      ,0-1
1972-1973,1,3,Granada        ,Sporting Gijón ,1-0
1972-1973,1,3,Barcelona      ,Las Palmas     ,3-1
1972-1973,1,3,Burgos         ,At. Madrid     ,0-1
1972-1973,1,4,Espanyol       ,Burgos         ,2-0
1972-1973,1,4,Ath. Bilbao    ,Real Madrid    ,2-1
1972-1973,1,4,Real Sociedad  ,Betis          ,2-1
1972-1973,1,4,Málaga (C.D.)  ,Oviedo         ,1-1
1972-1973,1,4,Celta          ,Valencia       ,1-0
1972-1973,1,4,Castellón      ,Dptivo. Coruña ,2-0
1972-1973,1,4,Sporting Gijón ,Zaragoza       ,3-0
1972-1973,1,4,Las Palmas     ,Granada        ,1-0
1972-1973,1,4,At. Madrid     ,Barcelona      ,2-0
1972-1973,1,5,Espanyol       ,Ath. Bilbao    ,0-0
1972-1973,1,5,Real Madrid    ,Real Sociedad  ,6-1
1972-1973,1,5,Betis          ,Málaga (C.D.)  ,0-1
1972-1973,1,5,Oviedo         ,Celta          ,0-0
1972-1973,1,5,Valencia       ,Castellón      ,4-2
1972-1973,1,5,Dptivo. Coruña ,Sporting Gijón ,2-1
1972-1973,1,5,Zaragoza       ,Las Palmas     ,1-0
1972-1973,1,5,Granada        ,At. Madrid     ,0-1
1972-1973,1,5,Burgos         ,Barcelona      ,0-0
1972-1973,1,6,Burgos         ,Ath. Bilbao    ,5-1
1972-1973,1,6,Real Sociedad  ,Espanyol       ,4-1
1972-1973,1,6,Málaga (C.D.)  ,Real Madrid    ,1-0
1972-1973,1,6,Celta          ,Betis          ,0-0
1972-1973,1,6,Castellón      ,Oviedo         ,2-0
1972-1973,1,6,Sporting Gijón ,Valencia       ,1-1
1972-1973,1,6,Las Palmas     ,Dptivo. Coruña ,3-0
1972-1973,1,6,At. Madrid     ,Zaragoza       ,0-0
1972-1973,1,6,Barcelona      ,Granada        ,3-0
1972-1973,1,7,Ath. Bilbao    ,Real Sociedad  ,2-1
1972-1973,1,7,Espanyol       ,Málaga (C.D.)  ,1-0
1972-1973,1,7,Real Madrid    ,Celta          ,1-0
1972-1973,1,7,Betis          ,Castellón      ,2-0
1972-1973,1,7,Oviedo         ,Sporting Gijón ,1-0
1972-1973,1,7,Valencia       ,Las Palmas     ,0-0
1972-1973,1,7,Dptivo. Coruña ,At. Madrid     ,1-1
1972-1973,1,7,Zaragoza       ,Barcelona      ,0-2
1972-1973,1,7,Granada        ,Burgos         ,2-0
1972-1973,1,8,Zaragoza       ,Granada        ,2-0
1972-1973,1,8,Dptivo. Coruña ,Barcelona      ,0-1
1972-1973,1,8,Valencia       ,At. Madrid     ,1-2
1972-1973,1,8,Oviedo         ,Las Palmas     ,3-0
1972-1973,1,8,Betis          ,Sporting Gijón ,2-0
1972-1973,1,8,Real Madrid    ,Castellón      ,2-0
1972-1973,1,8,Espanyol       ,Celta          ,4-2
1972-1973,1,8,Ath. Bilbao    ,Málaga (C.D.)  ,2-0
1972-1973,1,8,Real Sociedad  ,Burgos         ,5-1
1972-1973,1,9,Burgos         ,Zaragoza       ,3-0
1972-1973,1,9,Granada        ,Dptivo. Coruña ,2-0
1972-1973,1,9,Barcelona      ,Valencia       ,0-0
1972-1973,1,9,At. Madrid     ,Oviedo         ,2-1
1972-1973,1,9,Las Palmas     ,Betis          ,2-0
1972-1973,1,9,Sporting Gijón ,Real Madrid    ,1-0
1972-1973,1,9,Castellón      ,Espanyol       ,2-0
1972-1973,1,9,Celta          ,Ath. Bilbao    ,1-0
1972-1973,1,9,Málaga (C.D.)  ,Real Sociedad  ,3-0
1972-1973,1,0,Dptivo. Coruña ,Zaragoza       ,0-0
1972-1973,1,0,Valencia       ,Granada        ,0-0
1972-1973,1,0,Oviedo         ,Barcelona      ,0-0
1972-1973,1,0,Betis          ,At. Madrid     ,1-0
1972-1973,1,0,Real Madrid    ,Las Palmas     ,2-1
1972-1973,1,0,Espanyol       ,Sporting Gijón ,3-0
1972-1973,1,0,Ath. Bilbao    ,Castellón      ,1-1
1972-1973,1,0,Real Sociedad  ,Celta          ,1-0
1972-1973,1,0,Málaga (C.D.)  ,Burgos         ,3-0
1972-1973,1,1,Burgos         ,Dptivo. Coruña ,0-0
1972-1973,1,1,Zaragoza       ,Valencia       ,0-1
1972-1973,1,1,Granada        ,Oviedo         ,4-0
1972-1973,1,1,Barcelona      ,Betis          ,2-0
1972-1973,1,1,At. Madrid     ,Real Madrid    ,1-2
1972-1973,1,1,Las Palmas     ,Espanyol       ,0-2
1972-1973,1,1,Sporting Gijón ,Ath. Bilbao    ,2-0
1972-1973,1,1,Castellón      ,Real Sociedad  ,3-0
1972-1973,1,1,Celta          ,Málaga (C.D.)  ,1-0
1972-1973,1,2,Valencia       ,Dptivo. Coruña ,0-1
1972-1973,1,2,Oviedo         ,Zaragoza       ,2-0
1972-1973,1,2,Betis          ,Granada        ,0-0
1972-1973,1,2,Real Madrid    ,Barcelona      ,0-0
1972-1973,1,2,Espanyol       ,At. Madrid     ,2-1
1972-1973,1,2,Ath. Bilbao    ,Las Palmas     ,1-0
1972-1973,1,2,Real Sociedad  ,Sporting Gijón ,0-0
1972-1973,1,2,Málaga (C.D.)  ,Castellón      ,1-1
1972-1973,1,2,Celta          ,Burgos         ,1-0
1972-1973,1,3,Burgos         ,Valencia       ,2-1
1972-1973,1,3,Dptivo. Coruña ,Oviedo         ,1-1
1972-1973,1,3,Zaragoza       ,Betis          ,3-2
1972-1973,1,3,Granada        ,Real Madrid    ,1-2
1972-1973,1,3,Barcelona      ,Espanyol       ,0-1
1972-1973,1,3,At. Madrid     ,Ath. Bilbao    ,2-1
1972-1973,1,3,Las Palmas     ,Real Sociedad  ,1-0
1972-1973,1,3,Sporting Gijón ,Málaga (C.D.)  ,2-0
1972-1973,1,3,Castellón      ,Celta          ,5-1
1972-1973,1,4,Oviedo         ,Valencia       ,3-1
1972-1973,1,4,Betis          ,Dptivo. Coruña ,2-0
1972-1973,1,4,Real Madrid    ,Zaragoza       ,0-0
1972-1973,1,4,Espanyol       ,Granada        ,2-1
1972-1973,1,4,Ath. Bilbao    ,Barcelona      ,0-1
1972-1973,1,4,Real Sociedad  ,At. Madrid     ,0-1
1972-1973,1,4,Málaga (C.D.)  ,Las Palmas     ,0-1
1972-1973,1,4,Celta          ,Sporting Gijón ,3-0
1972-1973,1,4,Castellón      ,Burgos         ,3-1
1972-1973,1,5,Burgos         ,Oviedo         ,0-1
1972-1973,1,5,Valencia       ,Betis          ,2-0
1972-1973,1,5,Dptivo. Coruña ,Real Madrid    ,0-0
1972-1973,1,5,Zaragoza       ,Espanyol       ,1-0
1972-1973,1,5,Granada        ,Ath. Bilbao    ,0-0
1972-1973,1,5,Barcelona      ,Real Sociedad  ,1-0
1972-1973,1,5,At. Madrid     ,Málaga (C.D.)  ,1-1
1972-1973,1,5,Las Palmas     ,Celta          ,0-0
1972-1973,1,5,Sporting Gijón ,Castellón      ,1-0
1972-1973,1,6,Betis          ,Oviedo         ,0-0
1972-1973,1,6,Real Madrid    ,Valencia       ,2-1
1972-1973,1,6,Espanyol       ,Dptivo. Coruña ,2-1
1972-1973,1,6,Ath. Bilbao    ,Zaragoza       ,1-0
1972-1973,1,6,Real Sociedad  ,Granada        ,1-0
1972-1973,1,6,Málaga (C.D.)  ,Barcelona      ,2-1
1972-1973,1,6,Celta          ,At. Madrid     ,0-1
1972-1973,1,6,Castellón      ,Las Palmas     ,2-1
1972-1973,1,6,Sporting Gijón ,Burgos         ,1-2
1972-1973,1,7,Burgos         ,Betis          ,2-1
1972-1973,1,7,Oviedo         ,Real Madrid    ,1-2
1972-1973,1,7,Valencia       ,Espanyol       ,1-0
1972-1973,1,7,Dptivo. Coruña ,Ath. Bilbao    ,2-1
1972-1973,1,7,Zaragoza       ,Real Sociedad  ,1-1
1972-1973,1,7,Granada        ,Málaga (C.D.)  ,2-0
1972-1973,1,7,Barcelona      ,Celta          ,2-0
1972-1973,1,7,At. Madrid     ,Castellón      ,1-0
1972-1973,1,7,Las Palmas     ,Sporting Gijón ,1-1
1972-1973,1,8,Real Madrid    ,Betis          ,1-1
1972-1973,1,8,Espanyol       ,Oviedo         ,3-0
1972-1973,1,8,Ath. Bilbao    ,Valencia       ,2-0
1972-1973,1,8,Real Sociedad  ,Dptivo. Coruña ,2-0
1972-1973,1,8,Málaga (C.D.)  ,Zaragoza       ,2-1
1972-1973,1,8,Celta          ,Granada        ,0-0
1972-1973,1,8,Castellón      ,Barcelona      ,4-0
1972-1973,1,8,Sporting Gijón ,At. Madrid     ,2-3
1972-1973,1,8,Las Palmas     ,Burgos         ,4-1
1972-1973,1,9,Burgos         ,Real Madrid    ,2-3
1972-1973,1,9,Betis          ,Espanyol       ,2-2
1972-1973,1,9,Oviedo         ,Ath. Bilbao    ,2-1
1972-1973,1,9,Valencia       ,Real Sociedad  ,1-0
1972-1973,1,9,Dptivo. Coruña ,Málaga (C.D.)  ,1-0
1972-1973,1,9,Zaragoza       ,Celta          ,2-2
1972-1973,1,9,Granada        ,Castellón      ,1-1
1972-1973,1,9,Barcelona      ,Sporting Gijón ,3-1
1972-1973,1,9,At. Madrid     ,Las Palmas     ,2-1
1972-1973,1,0,Espanyol       ,Real Madrid    ,1-0
1972-1973,1,0,Ath. Bilbao    ,Betis          ,1-1
1972-1973,1,0,Real Sociedad  ,Oviedo         ,1-2
1972-1973,1,0,Málaga (C.D.)  ,Valencia       ,1-1
1972-1973,1,0,Celta          ,Dptivo. Coruña ,1-0
1972-1973,1,0,Castellón      ,Zaragoza       ,1-1
1972-1973,1,0,Sporting Gijón ,Granada        ,2-0
1972-1973,1,0,Las Palmas     ,Barcelona      ,2-1
1972-1973,1,0,At. Madrid     ,Burgos         ,4-2
1972-1973,1,1,Burgos         ,Espanyol       ,1-1
1972-1973,1,1,Real Madrid    ,Ath. Bilbao    ,3-3
1972-1973,1,1,Betis          ,Real Sociedad  ,1-1
1972-1973,1,1,Oviedo         ,Málaga (C.D.)  ,0-0
1972-1973,1,1,Valencia       ,Celta          ,1-0
1972-1973,1,1,Dptivo. Coruña ,Castellón      ,1-1
1972-1973,1,1,Zaragoza       ,Sporting Gijón ,3-1
1972-1973,1,1,Granada        ,Las Palmas     ,1-0
1972-1973,1,1,Barcelona      ,At. Madrid     ,0-0
1972-1973,1,2,Ath. Bilbao    ,Espanyol       ,1-0
1972-1973,1,2,Real Sociedad  ,Real Madrid    ,1-1
1972-1973,1,2,Málaga (C.D.)  ,Betis          ,0-0
1972-1973,1,2,Celta          ,Oviedo         ,4-2
1972-1973,1,2,Castellón      ,Valencia       ,1-3
1972-1973,1,2,Sporting Gijón ,Dptivo. Coruña ,0-0
1972-1973,1,2,Las Palmas     ,Zaragoza       ,1-1
1972-1973,1,2,At. Madrid     ,Granada        ,2-1
1972-1973,1,2,Barcelona      ,Burgos         ,2-0
1972-1973,1,3,Ath. Bilbao    ,Burgos         ,4-0
1972-1973,1,3,Espanyol       ,Real Sociedad  ,1-1
1972-1973,1,3,Real Madrid    ,Málaga (C.D.)  ,2-0
1972-1973,1,3,Betis          ,Celta          ,1-0
1972-1973,1,3,Oviedo         ,Castellón      ,0-0
1972-1973,1,3,Valencia       ,Sporting Gijón ,1-0
1972-1973,1,3,Dptivo. Coruña ,Las Palmas     ,2-2
1972-1973,1,3,Zaragoza       ,At. Madrid     ,1-1
1972-1973,1,3,Granada        ,Barcelona      ,0-2
1972-1973,1,4,Real Sociedad  ,Ath. Bilbao    ,1-0
1972-1973,1,4,Málaga (C.D.)  ,Espanyol       ,0-1
1972-1973,1,4,Celta          ,Real Madrid    ,3-0
1972-1973,1,4,Castellón      ,Betis          ,3-1
1972-1973,1,4,Sporting Gijón ,Oviedo         ,1-0
1972-1973,1,4,Las Palmas     ,Valencia       ,1-0
1972-1973,1,4,At. Madrid     ,Dptivo. Coruña ,3-1
1972-1973,1,4,Barcelona      ,Zaragoza       ,1-1
1972-1973,1,4,Burgos         ,Granada        ,2-1
1972-1973,2,1,Mallorca       ,Rayo Vallecano ,2-1
1972-1973,2,1,Barakaldo      ,Pontevedra     ,3-0
1972-1973,2,1,Sant Andreu    ,Gimn. Tarragona,1-2
1972-1973,2,1,Elche          ,Cult. Leonesa  ,3-2
1972-1973,2,1,Sevilla        ,Tenerife       ,3-0
1972-1973,2,1,Valladolid     ,Hércules       ,1-1
1972-1973,2,1,Valencia B     ,Murcia         ,0-0
1972-1973,2,1,Cádiz          ,Sabadell       ,3-1
1972-1973,2,1,Córdoba        ,Logroñés       ,2-1
1972-1973,2,1,Osasuna        ,Rac. Santander ,0-1
1972-1973,2,2,Rayo Vallecano ,Osasuna        ,7-0
1972-1973,2,2,Pontevedra     ,Mallorca       ,1-3
1972-1973,2,2,Gimn. Tarragona,Barakaldo      ,2-0
1972-1973,2,2,Cult. Leonesa  ,Sant Andreu    ,1-2
1972-1973,2,2,Tenerife       ,Elche          ,0-0
1972-1973,2,2,Hércules       ,Sevilla        ,1-1
1972-1973,2,2,Murcia         ,Valladolid     ,2-1
1972-1973,2,2,Sabadell       ,Valencia B     ,2-1
1972-1973,2,2,Logroñés       ,Cádiz          ,3-3
1972-1973,2,2,Rac. Santander ,Córdoba        ,1-0
1972-1973,2,3,Rayo Vallecano ,Pontevedra     ,2-2
1972-1973,2,3,Mallorca       ,Gimn. Tarragona,2-0
1972-1973,2,3,Barakaldo      ,Cult. Leonesa  ,1-2
1972-1973,2,3,Sant Andreu    ,Tenerife       ,1-0
1972-1973,2,3,Elche          ,Hércules       ,3-0
1972-1973,2,3,Sevilla        ,Murcia         ,1-1
1972-1973,2,3,Valladolid     ,Sabadell       ,1-1
1972-1973,2,3,Valencia B     ,Logroñés       ,1-1
1972-1973,2,3,Cádiz          ,Rac. Santander ,0-1
1972-1973,2,3,Osasuna        ,Córdoba        ,2-2
1972-1973,2,4,Pontevedra     ,Osasuna        ,1-2
1972-1973,2,4,Gimn. Tarragona,Rayo Vallecano ,2-0
1972-1973,2,4,Cult. Leonesa  ,Mallorca       ,0-0
1972-1973,2,4,Tenerife       ,Barakaldo      ,0-0
1972-1973,2,4,Hércules       ,Sant Andreu    ,1-0
1972-1973,2,4,Murcia         ,Elche          ,2-0
1972-1973,2,4,Sabadell       ,Sevilla        ,0-1
1972-1973,2,4,Logroñés       ,Valladolid     ,1-2
1972-1973,2,4,Rac. Santander ,Valencia B     ,2-0
1972-1973,2,4,Córdoba        ,Cádiz          ,2-0
1972-1973,2,5,Pontevedra     ,Gimn. Tarragona,3-0
1972-1973,2,5,Rayo Vallecano ,Cult. Leonesa  ,1-1
1972-1973,2,5,Mallorca       ,Tenerife       ,3-0
1972-1973,2,5,Barakaldo      ,Hércules       ,2-0
1972-1973,2,5,Sant Andreu    ,Murcia         ,3-2
1972-1973,2,5,Elche          ,Sabadell       ,1-0
1972-1973,2,5,Sevilla        ,Logroñés       ,0-0
1972-1973,2,5,Valladolid     ,Rac. Santander ,0-0
1972-1973,2,5,Valencia B     ,Córdoba        ,0-1
1972-1973,2,5,Osasuna        ,Cádiz          ,1-0
1972-1973,2,6,Gimn. Tarragona,Osasuna        ,1-0
1972-1973,2,6,Cult. Leonesa  ,Pontevedra     ,1-1
1972-1973,2,6,Tenerife       ,Rayo Vallecano ,1-0
1972-1973,2,6,Hércules       ,Mallorca       ,2-0
1972-1973,2,6,Murcia         ,Barakaldo      ,6-0
1972-1973,2,6,Sabadell       ,Sant Andreu    ,1-1
1972-1973,2,6,Logroñés       ,Elche          ,0-1
1972-1973,2,6,Rac. Santander ,Sevilla        ,1-0
1972-1973,2,6,Córdoba        ,Valladolid     ,2-3
1972-1973,2,6,Cádiz          ,Valencia B     ,1-1
1972-1973,2,7,Gimn. Tarragona,Cult. Leonesa  ,4-0
1972-1973,2,7,Pontevedra     ,Tenerife       ,2-1
1972-1973,2,7,Rayo Vallecano ,Hércules       ,2-1
1972-1973,2,7,Mallorca       ,Murcia         ,1-0
1972-1973,2,7,Barakaldo      ,Sabadell       ,1-0
1972-1973,2,7,Sant Andreu    ,Logroñés       ,1-1
1972-1973,2,7,Elche          ,Rac. Santander ,1-1
1972-1973,2,7,Sevilla        ,Córdoba        ,3-1
1972-1973,2,7,Valladolid     ,Cádiz          ,1-0
1972-1973,2,7,Osasuna        ,Valencia B     ,1-0
1972-1973,2,8,Cult. Leonesa  ,Osasuna        ,1-0
1972-1973,2,8,Tenerife       ,Gimn. Tarragona,1-0
1972-1973,2,8,Hércules       ,Pontevedra     ,2-1
1972-1973,2,8,Murcia         ,Rayo Vallecano ,2-1
1972-1973,2,8,Sabadell       ,Mallorca       ,0-1
1972-1973,2,8,Logroñés       ,Barakaldo      ,1-1
1972-1973,2,8,Rac. Santander ,Sant Andreu    ,1-1
1972-1973,2,8,Córdoba        ,Elche          ,1-2
1972-1973,2,8,Cádiz          ,Sevilla        ,1-1
1972-1973,2,8,Valencia B     ,Valladolid     ,0-0
1972-1973,2,9,Cult. Leonesa  ,Tenerife       ,0-0
1972-1973,2,9,Gimn. Tarragona,Hércules       ,1-0
1972-1973,2,9,Pontevedra     ,Murcia         ,0-1
1972-1973,2,9,Rayo Vallecano ,Sabadell       ,3-0
1972-1973,2,9,Mallorca       ,Logroñés       ,0-0
1972-1973,2,9,Barakaldo      ,Rac. Santander ,0-0
1972-1973,2,9,Sant Andreu    ,Córdoba        ,1-0
1972-1973,2,9,Elche          ,Cádiz          ,3-0
1972-1973,2,9,Sevilla        ,Valencia B     ,3-0
1972-1973,2,9,Osasuna        ,Valladolid     ,0-0
1972-1973,2,0,Tenerife       ,Osasuna        ,2-0
1972-1973,2,0,Hércules       ,Cult. Leonesa  ,3-1
1972-1973,2,0,Murcia         ,Gimn. Tarragona,3-1
1972-1973,2,0,Sabadell       ,Pontevedra     ,3-1
1972-1973,2,0,Logroñés       ,Rayo Vallecano ,2-0
1972-1973,2,0,Rac. Santander ,Mallorca       ,1-0
1972-1973,2,0,Córdoba        ,Barakaldo      ,2-0
1972-1973,2,0,Cádiz          ,Sant Andreu    ,6-0
1972-1973,2,0,Valencia B     ,Elche          ,2-3
1972-1973,2,0,Valladolid     ,Sevilla        ,1-1
1972-1973,2,1,Tenerife       ,Hércules       ,3-0
1972-1973,2,1,Cult. Leonesa  ,Murcia         ,1-3
1972-1973,2,1,Gimn. Tarragona,Sabadell       ,2-1
1972-1973,2,1,Pontevedra     ,Logroñés       ,1-1
1972-1973,2,1,Rayo Vallecano ,Rac. Santander ,2-0
1972-1973,2,1,Mallorca       ,Córdoba        ,2-0
1972-1973,2,1,Barakaldo      ,Cádiz          ,1-1
1972-1973,2,1,Sant Andreu    ,Valencia B     ,0-0
1972-1973,2,1,Elche          ,Valladolid     ,1-2
1972-1973,2,1,Osasuna        ,Sevilla        ,1-1
1972-1973,2,2,Hércules       ,Osasuna        ,2-0
1972-1973,2,2,Murcia         ,Tenerife       ,3-0
1972-1973,2,2,Sabadell       ,Cult. Leonesa  ,2-0
1972-1973,2,2,Logroñés       ,Gimn. Tarragona,1-1
1972-1973,2,2,Rac. Santander ,Pontevedra     ,1-0
1972-1973,2,2,Córdoba        ,Rayo Vallecano ,2-0
1972-1973,2,2,Cádiz          ,Mallorca       ,2-0
1972-1973,2,2,Valencia B     ,Barakaldo      ,0-1
1972-1973,2,2,Valladolid     ,Sant Andreu    ,1-1
1972-1973,2,2,Sevilla        ,Elche          ,2-0
1972-1973,2,3,Hércules       ,Murcia         ,0-1
1972-1973,2,3,Tenerife       ,Sabadell       ,1-1
1972-1973,2,3,Cult. Leonesa  ,Logroñés       ,3-2
1972-1973,2,3,Gimn. Tarragona,Rac. Santander ,1-0
1972-1973,2,3,Pontevedra     ,Córdoba        ,0-0
1972-1973,2,3,Rayo Vallecano ,Cádiz          ,1-2
1972-1973,2,3,Mallorca       ,Valencia B     ,1-1
1972-1973,2,3,Barakaldo      ,Valladolid     ,2-0
1972-1973,2,3,Sant Andreu    ,Sevilla        ,1-0
1972-1973,2,3,Osasuna        ,Elche          ,1-0
1972-1973,2,4,Murcia         ,Osasuna        ,1-0
1972-1973,2,4,Sabadell       ,Hércules       ,0-0
1972-1973,2,4,Logroñés       ,Tenerife       ,3-0
1972-1973,2,4,Rac. Santander ,Cult. Leonesa  ,2-1
1972-1973,2,4,Córdoba        ,Gimn. Tarragona,1-0
1972-1973,2,4,Cádiz          ,Pontevedra     ,2-0
1972-1973,2,4,Valencia B     ,Rayo Vallecano ,2-1
1972-1973,2,4,Valladolid     ,Mallorca       ,3-1
1972-1973,2,4,Sevilla        ,Barakaldo      ,0-1
1972-1973,2,4,Elche          ,Sant Andreu    ,2-0
