Barcelona,Malaga (C.D.),9,Barcelona,1972-1973,1ª,0,0
At. Madrid,Celta,9,At. Madrid,1972-1973,1ª,5,1
Las Palmas,Castellon,9,Las Palmas,1972-1973,1ª,0,1
Burgos,Sporting Gijon,9,Burgos,1972-1973,1ª,2,1
Betis,Burgos,10,Betis,1972-1973,1ª,5,1
Real Madrid,Oviedo,10,Real Madrid,1972-1973,1ª,3,0
Espanyol,Valencia,10,Espanyol,1972-1973,1ª,3,0
Ath. Bilbao,Dptivo. Coruña,10,Ath. Bilbao,1972-1973,1ª,3,0
Real Sociedad,Zaragoza,10,Real Sociedad,1972-1973,1ª,3,0
Malaga (C.D.),Granada,10,Malaga (C.D.),1972-1973,1ª,3,0
Celta,Barcelona,10,Celta,1972-1973,1ª,0,0
Castellon,At. Madrid,10,Castellon,1972-1973,1ª,1,1
Sporting Gijon,Las Palmas,10,Sporting Gijon,1972-1973,1ª,2,2
Betis,Real Madrid,11,Betis,1972-1973,1ª,2,1
Oviedo,Espanyol,11,Oviedo,1972-1973,1ª,1,2
Valencia,Ath. Bilbao,11,Valencia,1972-1973,1ª,4,1
Dptivo. Coruña,Real Sociedad,11,Dptivo. Coruña,1972-1973,1ª,1,2
Zaragoza,Malaga (C.D.),11,Zaragoza,1972-1973,1ª,1,1
Granada,Celta,11,Granada,1972-1973,1ª,1,0
Barcelona,Castellon,11,Barcelona,1972-1973,1ª,3,1
At. Madrid,Sporting Gijon,11,At. Madrid,1972-1973,1ª,0,1
Burgos,Las Palmas,11,Burgos,1972-1973,1ª,3,3
Real Madrid,Burgos,12,Real Madrid,1972-1973,1ª,2,0
Espanyol,Betis,12,Espanyol,1972-1973,1ª,2,2
Ath. Bilbao,Oviedo,12,Ath. Bilbao,1972-1973,1ª,3,3
Real Sociedad,Valencia,12,Real Sociedad,1972-1973,1ª,2,1
Malaga (C.D.),Dptivo. Coruña,12,Malaga (C.D.),1972-1973,1ª,4,1
Celta,Zaragoza,12,Celta,1972-1973,1ª,1,2
Castellon,Granada,12,Castellon,1972-1973,1ª,0,0
Sporting Gijon,Barcelona,12,Sporting Gijon,1972-1973,1ª,1,1
Las Palmas,At. Madrid,12,Las Palmas,1972-1973,1ª,2,2
Real Madrid,Espanyol,13,Real Madrid,1972-1973,1ª,1,0
Betis,Ath. Bilbao,13,Betis,1972-1973,1ª,0,0
Oviedo,Real Sociedad,13,Oviedo,1972-1973,1ª,1,1
Valencia,Malaga (C.D.),13,Valencia,1972-1973,1ª,2,1
Dptivo. Coruña,Celta,13,Dptivo. Coruña,1972-1973,1ª,1,0
Zaragoza,Castellon,13,Zaragoza,1972-1973,1ª,0,1
Granada,Sporting Gijon,13,Granada,1972-1973,1ª,1,0
Barcelona,Las Palmas,13,Barcelona,1972-1973,1ª,3,1
Burgos,At. Madrid,13,Burgos,1972-1973,1ª,0,1
Espanyol,Burgos,14,Espanyol,1972-1973,1ª,2,0
Ath. Bilbao,Real Madrid,14,Ath. Bilbao,1972-1973,1ª,2,1
Real Sociedad,Betis,14,Real Sociedad,1972-1973,1ª,2,1
Malaga (C.D.),Oviedo,14,Malaga (C.D.),1972-1973,1ª,1,1
Celta,Valencia,14,Celta,1972-1973,1ª,1,0
Castellon,Dptivo. Coruña,14,Castellon,1972-1973,1ª,2,0
Sporting Gijon,Zaragoza,14,Sporting Gijon,1972-1973,1ª,3,0
Las Palmas,Granada,14,Las Palmas,1972-1973,1ª,1,0
At. Madrid,Barcelona,14,At. Madrid,1972-1973,1ª,2,0
Espanyol,Ath. Bilbao,15,Espanyol,1972-1973,1ª,0,0
Real Madrid,Real Sociedad,15,Real Madrid,1972-1973,1ª,6,1
Betis,Malaga (C.D.),15,Betis,1972-1973,1ª,0,1
Oviedo,Celta,15,Oviedo,1972-1973,1ª,0,0
Valencia,Castellon,15,Valencia,1972-1973,1ª,4,2
Dptivo. Coruña,Sporting Gijon,15,Dptivo. Coruña,1972-1973,1ª,2,1
Zaragoza,Las Palmas,15,Zaragoza,1972-1973,1ª,1,0
Granada,At. Madrid,15,Granada,1972-1973,1ª,0,1
Burgos,Barcelona,15,Burgos,1972-1973,1ª,0,0
Burgos,Ath. Bilbao,16,Burgos,1972-1973,1ª,5,1
Real Sociedad,Espanyol,16,Real Sociedad,1972-1973,1ª,4,1
Malaga (C.D.),Real Madrid,16,Malaga (C.D.),1972-1973,1ª,1,0
Celta,Betis,16,Celta,1972-1973,1ª,0,0
Castellon,Oviedo,16,Castellon,1972-1973,1ª,2,0
Sporting Gijon,Valencia,16,Sporting Gijon,1972-1973,1ª,1,1
Las Palmas,Dptivo. Coruña,16,Las Palmas,1972-1973,1ª,3,0
At. Madrid,Zaragoza,16,At. Madrid,1972-1973,1ª,0,0
Barcelona,Granada,16,Barcelona,1972-1973,1ª,3,0
Ath. Bilbao,Real Sociedad,17,Ath. Bilbao,1972-1973,1ª,2,1
Espanyol,Malaga (C.D.),17,Espanyol,1972-1973,1ª,1,0
Real Madrid,Celta,17,Real Madrid,1972-1973,1ª,1,0
Betis,Castellon,17,Betis,1972-1973,1ª,2,0
Oviedo,Sporting Gijon,17,Oviedo,1972-1973,1ª,1,0
Valencia,Las Palmas,17,Valencia,1972-1973,1ª,0,0
Dptivo. Coruña,At. Madrid,17,Dptivo. Coruña,1972-1973,1ª,1,1
Zaragoza,Barcelona,17,Zaragoza,1972-1973,1ª,0,2
Granada,Burgos,17,Granada,1972-1973,1ª,2,0
Zaragoza,Granada,18,Zaragoza,1972-1973,1ª,2,0
Dptivo. Coruña,Barcelona,18,Dptivo. Coruña,1972-1973,1ª,0,1
Valencia,At. Madrid,18,Valencia,1972-1973,1ª,1,2
Oviedo,Las Palmas,18,Oviedo,1972-1973,1ª,3,0
Betis,Sporting Gijon,18,Betis,1972-1973,1ª,2,0
Real Madrid,Castellon,18,Real Madrid,1972-1973,1ª,2,0
Espanyol,Celta,18,Espanyol,1972-1973,1ª,4,2
Ath. Bilbao,Malaga (C.D.),18,Ath. Bilbao,1972-1973,1ª,2,0
Real Sociedad,Burgos,18,Real Sociedad,1972-1973,1ª,5,1
Burgos,Zaragoza,19,Burgos,1972-1973,1ª,3,0
Granada,Dptivo. Coruña,19,Granada,1972-1973,1ª,2,0
Barcelona,Valencia,19,Barcelona,1972-1973,1ª,0,0
At. Madrid,Oviedo,19,At. Madrid,1972-1973,1ª,2,1
Las Palmas,Betis,19,Las Palmas,1972-1973,1ª,2,0
Sporting Gijon,Real Madrid,19,Sporting Gijon,1972-1973,1ª,1,0
Castellon,Espanyol,19,Castellon,1972-1973,1ª,2,0
Celta,Ath. Bilbao,19,Celta,1972-1973,1ª,1,0
Malaga (C.D.),Real Sociedad,19,Malaga (C.D.),1972-1973,1ª,3,0
Dptivo. Coruña,Zaragoza,20,Dptivo. Coruña,1972-1973,1ª,0,0
Valencia,Granada,20,Valencia,1972-1973,1ª,0,0
Oviedo,Barcelona,20,Oviedo,1972-1973,1ª,0,0
Betis,At. Madrid,20,Betis,1972-1973,1ª,1,0
Real Madrid,Las Palmas,20,Real Madrid,1972-1973,1ª,2,1
Espanyol,Sporting Gijon,20,Espanyol,1972-1973,1ª,3,0
Ath. Bilbao,Castellon,20,Ath. Bilbao,1972-1973,1ª,1,1
Real Sociedad,Celta,20,Real Sociedad,1972-1973,1ª,1,0
Malaga (C.D.),Burgos,20,Malaga (C.D.),1972-1973,1ª,3,0
Burgos,Dptivo. Coruña,21,Burgos,1972-1973,1ª,0,0
Zaragoza,Valencia,21,Zaragoza,1972-1973,1ª,0,1
Granada,Oviedo,21,Granada,1972-1973,1ª,4,0
Barcelona,Betis,21,Barcelona,1972-1973,1ª,2,0
At. Madrid,Real Madrid,21,At. Madrid,1972-1973,1ª,1,2
Las Palmas,Espanyol,21,Las Palmas,1972-1973,1ª,0,2
Sporting Gijon,Ath. Bilbao,21,Sporting Gijon,1972-1973,1ª,2,0
Castellon,Real Sociedad,21,Castellon,1972-1973,1ª,3,0
Celta,Malaga (C.D.),21,Celta,1972-1973,1ª,1,0
Valencia,Dptivo. Coruña,22,Valencia,1972-1973,1ª,0,1
Oviedo,Zaragoza,22,Oviedo,1972-1973,1ª,2,0
Betis,Granada,22,Betis,1972-1973,1ª,0,0
Real Madrid,Barcelona,22,Real Madrid,1972-1973,1ª,0,0
